"V1","V2","V3","V4","V5","V6","V7","V8"
"Coarse Grain, Total","-20305.2677411463","388.813851783127","0.656598881362095","-6.79058350939927","-0.000154378687491368","7.62262753173208","50715.6961390243"
"Cereals (Rice Milled Eqv)","-22031.7632501825","426.487994127957","0.657803589409304","-7.31955356831234","-0.000187711106152193","8.19627050521953","44820.6212384101"
"Oilcakes Equivalent","6071.55014922259","-443.837659290751","-0.0296570687401288","8.83936198536873","0.0000426863262941746","-0.14532748859109","9262.6932006069"
"Rice, paddy","-37401.493901639","-1265.68376741447","-1.68515630762465","19.9071658016057","0.000372282373771657","30.2214570131686","388381.918051246"
"Millet","55152.9150411206","-4546.80861548643","0.412048162478498","82.5507137870271","-0.000062212485347416","3.92644291773828","74262.5878757252"
"Sorghum","53313.1744656534","-4238.68328394592","0.464743699737412","78.3048085596467","-0.0000695865133489231","2.22319605262556","57276.7909365702"
"Fonio","37667.4674979518","-3389.58823372932","-0.269795327497212","61.2118190807375","0.000185584470959291","4.96126735449846","30350.3114388635"
"Taro (cocoyam)","815823.043624231","-61744.5202123693","0.821748731965222","1140.91852746317","-0.000380830139834098","11.5085396912624","5264813.26595484"
"Yams","129663.011190969","-19624.5642880741","5.21286476764361","364.176863659671","-0.00162025589561948","70.4639732663098","7130668.16361001"
"Beans, dry","106138.554287587","-9225.52476385242","-0.616996858009364","169.02643255984","0.000419218580442885","10.2245780916527","47792.1585726889"
"Cashew nuts, with shell","-88073.8626251773","3815.83786209042","-0.105232342324762","-72.4570134932289","0.00000782474661919896","19.3811942488375","151656.536834741"
"Kola nuts","-122802.735391419","9809.4720457001","-0.473380178322558","-186.141947878097","0.0000250776061991587","-2.55269532261552","55567.0963037163"
"Nuts, nes","35142.3463681899","-3433.65458157816","0.335344664577327","60.1047947604531","-0.000242851714570508","7.50558561595667","950057.469693261"
"Soybeans","-5645.72366738921","-902.948942492585","-1.47420060226012","14.3505621399753","0.000303057913615349","10.8310904658984","126808.345123943"
"Oil, palm fruit","599226.94164356","-43068.314669525","-5.36883999797896","821.290982637526","0.00185822781283918","-12.3010255672043","7000748.76208238"
"Karite nuts (sheanuts)","-31413.3400163605","3274.58097637615","-0.992386029756381","-56.7722154052718","0.000558341661450067","-6.57726171372797","281105.744128471"
"Sesame seed","-14783.3547427474","512.953208704197","0.00186931792484662","-8.85765376252178","0.0000348422469222702","3.87642491008238","20425.8417272203"
"Seed cotton","13730.5461945209","-2305.61961381883","-0.44991387060009","42.5855341388658","0.000321522436002223","9.2508316784165","149986.203888775"
"Oilseeds nes","-52744.1540874563","-6104.97032532566","-0.982720030003426","115.357133325365","-0.0000646949015423711","67.5963385929421","498379.238706349"
"Chillies and peppers, green","590209.938848655","-48112.5676133876","-14.0742312987717","837.217524542378","0.005876047488916","56.2103640341114","6596218.21048672"
"Okra","235652.623354909","-19128.5670201805","-17.7689606629398","397.336760415954","0.00701286982468946","2.82824244281123","11295729.7423735"
"Oranges","-291217.962129289","12298.1453623337","7.29832475616798","-252.24022112714","-0.00315854784746048","73.5644019385457","15933142.6893806"
"Pineapples","1745855.37935652","-164690.435440718","-19.8655794483338","2983.54902771766","0.000758349415041382","282.91275779217","232202446.313836"
"Dates","54682.6552971506","-3881.87204273227","0.725133135627463","67.9280448003916","-0.000826498021053811","1.79087267858376","193500.393003354"
"Pepper (piper spp.)","-46763.5730614994","2540.59529835455","-0.424694410221656","-47.8466393745773","0.000342291939699455","6.78903420966255","9473.42283855731"
"Tobacco, unmanufactured","61485.5124716314","-4966.98584336412","-0.477744752635178","90.6721051086203","0.000185378110893748","3.70003274637737","60980.3898617413"
"Treenuts,Total","-113092.90408145","7035.29290595737","-2.53468954695042","-133.774771766752","0.000777877639275842","11.6842910696283","670932.957311974"
"Fibre Crops Primary","-8964.59583513322","36.3528441974084","-0.0207850734880442","-0.592857414258105","0.00000986548563758229","4.39610945011495","22261.4065550827"
"Citrus Fruit,Total","-189675.716026667","7188.36669543882","6.33548057926944","-131.034733722962","-0.00212310276834993","46.5623673923038","7614196.35184333"
"Cereals, nes","-4896.11029747245","-545.155970417005","0.116878911420099","7.59218364237124","-0.0000304386065648205","7.34318482986399","56544.1576036007"
"Almonds, with shell","-141092.836229507","7915.41312447654","1.27859250712703","-142.673613964094","-0.000616474285871837","15.7111623207701","36355.7314925442"
"Oats","516270.785459124","-39818.8695543641","7.28894967157516","720.243143835563","-0.00318059394266184","15.2746658367482","3270.61706701672"
"Roots and tubers, nes","-236875.907613805","17067.0791157471","-6.49112560389376","-326.454862559526","0.00235414012703678","12.3300753394038","1460139.29491914"
"Eggplants (aubergines)","2173303.80912981","-166561.197430418","-17.465903219657","3006.91972250792","0.00819601396576936","73.9715595962645","8748152.78869011"
"Plantains","15109.3160355235","-4603.02761084369","-6.50269249304542","102.702633204572","0.00154682613077564","22.7353983051793","2151291.42962972"
"Lemons and limes","568591.658200173","-45986.5952386067","-6.76172663313389","816.359942413126","0.00200727660233111","44.7917829828705","3457581.10454967"
"Avocados","-149359.113592314","7411.46813508831","-4.33474987570024","-139.030739679511","0.00174018232256124","29.0219677085603","233906.970543604"
"Papayas","-1002694.15058995","71139.4477681069","-14.071393570148","-1218.49619584181","0.0037440712210933","-5.29209181997256","32832108.87303"
"Cocoa, beans","-64271.5599928496","4610.89170983118","0.223983737237895","-85.9388255298504","-0.000065923700511269","1.35147721512194","23130.1331355315"
"Ginger","631145.549190559","-60909.9540707135","-43.9401545922386","1057.77054802483","0.0215080502943161","133.580467859783","4251566.41543758"
"Rubber, natural","-161148.234891293","11268.9134061185","0.634655178108173","-217.5798334932","-0.000217847408366136","7.99801934028361","123491.830740581"
"Maize, green","145776.415579621","-12403.3834894989","-1.98542949136544","232.6345775093","0.000466359686679087","12.1374148508541","245694.501517907"
"Fruit, citrus nes","-1709634.56623547","116866.885000504","7.57331058809236","-2232.19776831184","-0.00273592759012382","91.6733997615123","7877920.22711847"
"Melons, other (inc.cantaloupes)","1056714.07832803","-83026.1748246959","8.3769674295666","1544.74094087668","-0.00287514399593264","31.243531808918","1573606.27139116"
"Fruit, tropical fresh nes","363091.977326372","-33588.0000235241","-1.76691279718906","628.156638375152","0.000778869418178941","45.1482535877251","2273713.88599341"
"Sisal","6137.21213404615","-554.925140552899","0.869071285373827","10.8850927988967","-0.000255727820584435","0.155448099850428","395.740115377303"
"Onions, shallots, green","-452591.055792626","21190.2826612098","5.83632612892081","-337.506943107548","-0.00537338986391346","69.6891074014482","10251122.0844624"
"String beans","781191.282044382","-58321.5001093295","16.7908501732335","1096.40427178992","-0.00567923346211563","-7.36409658959987","153040.986987208"
"Grapefruit (inc. pomelos)","41399.4485041393","263.851053169797","-18.209311407349","25.0899862511958","0.00544648530120586","-22.7205386498668","2473268.17867033"
"Spices, nes","38960.6118232695","-3257.04778298868","-1.10196803445672","68.0152649712253","0.000844428882064024","0.339570387329155","351069.816766289"
"Wheat","151698.602804924","-13634.5001981672","2.94465432375191","246.466012173958","-0.00197739107985512","18.9732223398548","280845.505699887"
"Cow peas, dry","-19484.8166118652","873.038623612649","0.495426307675258","-16.1354088670492","-0.000252948428051842","3.95837169474264","18737.1155078154"
"Bambara beans","64009.7122086964","-4167.34366201342","1.62022033292597","74.7573389307012","-0.00081743038719346","-2.87934798019268","15232.1054063871"
"Melonseed","1202073.95400367","-89222.3058394943","-0.0656265023643683","1620.17302899297","-0.000309237457217755","13.3831143353693","2459438.18560602"
"Cashewapple","30566.5398370251","-2037.44622735937","4.60014174761908","36.6053528986176","-0.00865183661473537","0.0847659046509883","40094.1685858949"
"Tea","65105.1190045753","-8709.05310398615","18.9252748468897","151.580464314489","-0.0278191886701399","28.8971290948173","67797.1707245087"
"Bastfibres, other","-105613.355329607","6847.03962225773","0.0846146267509274","-121.933568897064","0.000194467562001356","5.09107834328068","28366.3209109978"
"Jute & Jute-like Fibres","-105613.355329607","6847.03962225773","0.0846146267509274","-121.933568897064","0.000194467562001356","5.09107834328068","28366.3209109978"
"Barley","64202.992658101","-9272.63431021152","4.61582659968872","168.764320876823","0.0176069636767768","32.0600399213486","61905.3662600543"
"Peas, dry","-33737.9494217753","1558.4722188519","0.407906976408551","-29.2603525763199","-0.00009157626386384","6.66713484749759","2880.24101590502"
"Chick peas","48825.1957986621","-3776.82468137439","0.441308956686001","67.4296444035341","-0.00018341297152274","2.23465925224456","6497.60379048427"
"Leeks, other alliaceous vegetables","-40171.7134245078","-7973.28963692021","-44.1137221728606","135.954296495846","0.115464050121419","82.9957341610383","193453.584159399"
"Peas, green","-296160.33497961","7865.23854097949","-28.6218340168285","-148.951567037232","0.0754107215459723","98.8638235336059","214456.019194794"
"Vegetables, leguminous nes","-44053.8816528124","-964.699156454086","1.59564698849624","12.8577331822987","0.00299988413373313","31.7541983492294","208560.221239597"
"Broad beans, horse beans, dry","-26008.4026797488","1880.569795548","-0.932287161171857","-34.8675847699029","0.000157255327979416","1.58867612667764","7351.5138303736"
"Nutmeg, mace and cardamoms","-359189.088900176","22125.2838887791","-7.79085307072183","-402.854529011452","0.00344364416725326","30.1645594524657","6187.86601052258"
"Tangerines, mandarins, clementines, satsumas","-538168.29987108","22980.7730516508","95.7508008650504","-393.684900026979","-0.0627469556611157","87.9049533884552","3317718.54453098"
